0.215750,0.598706,0.476807,0.490831,0.509169
0.387271,0.523193,0.402373,0.354908,0.433657
0.403452,0.502697,0.408846,0.337648,0.433657
0.600863,0.624595,0.595469,0.429342,0.525351
0.413161,0.474649,0.395901,0.325782,0.394822
0.587918,0.617044,0.596548,0.430421,0.542611
0.419633,0.489752,0.331176,0.382956,0.413161
0.415318,0.687163,0.565264,0.478964,0.567422
0.381877,0.523193,0.401294,0.364617,0.430421
0.401294,0.494067,0.403452,0.361381,0.434736
0.615965,0.631068,0.599784,0.406688,0.525351
0.421791,0.475728,0.398058,0.322546,0.399137
0.593312,0.629989,0.592233,0.450917,0.514563
0.407767,0.508091,0.321467,0.357066,0.419633
0.389428,0.458468,0.458468,0.334412,0.368932
0.363538,0.458468,0.458468,0.353830,0.354908
0.379720,0.458468,0.458468,0.439051,0.443366
0.480043,0.559871,0.557713,0.437972,0.507012
0.320388,0.458468,0.458468,0.313916,0.321467
0.432578,0.521036,0.527508,0.418554,0.459547
0.415318,0.464941,0.374326,0.381877,0.404531
0.854369,0.792880,0.810140,0.813376,0.850054
0.840345,0.852211,0.855448,0.800431,0.839266
0.806904,0.843581,0.844660,0.765912,0.809061
0.851133,0.852211,0.851133,0.785329,0.837109
0.584682,0.633225,0.647249,0.519957,0.585761
0.834951,0.850054,0.855448,0.770227,0.823085
0.989213,0.987055,0.988134,0.979504,0.981661
0.607059,0.906471,0.933529,0.692941,0.770588
0.565882,0.522353,0.420588,0.558235,0.616471
0.517059,0.488235,0.303529,0.537059,0.568235
0.691176,0.795294,0.635294,0.612353,0.721765
0.566471,0.332941,0.380000,0.532941,0.585294
0.680588,0.751765,0.620588,0.641765,0.741176
0.595882,0.717059,0.341176,0.606471,0.693529
0.608824,0.872353,0.801176,0.682941,0.771176
0.585294,0.514706,0.424118,0.585882,0.640000
0.530588,0.473529,0.322353,0.550000,0.595294
0.694118,0.792353,0.644706,0.658235,0.725882
0.599412,0.335882,0.380588,0.534118,0.619412
0.675882,0.758824,0.615882,0.652941,0.740000
0.617059,0.652353,0.297647,0.598235,0.671765
0.484706,0.128235,0.147647,0.526471,0.530000
0.438824,0.128824,0.147647,0.453529,0.457647
0.335294,0.128235,0.148235,0.348235,0.343529
0.632353,0.466471,0.518235,0.603529,0.686471
0.436471,0.128235,0.145882,0.472941,0.457647
0.568235,0.370588,0.384118,0.588235,0.657647
0.606471,0.377647,0.356471,0.579412,0.673529
0.879412,0.772353,0.791765,0.876471,0.897647
0.895294,0.840000,0.847059,0.858235,0.897059
0.853529,0.819412,0.825294,0.835882,0.868824
0.888824,0.847647,0.855294,0.850588,0.884706
0.684706,0.582941,0.598235,0.674118,0.703529
0.878824,0.848235,0.854118,0.854706,0.880588
0.993529,0.991765,0.991176,0.984706,0.993529
